nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0072308,tt0050419,tt0053137,tt0043044
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0117057,tt0071877,tt0038355,tt0037382
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,producer	tt0059956,tt0057345,tt0049189,tt0054452
nm0000004	John Belushi	1949	1982	actor,writer,soundtrack	tt0078723,tt0080455,tt0072562,tt0077975
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0060827,tt0050986,tt0050976,tt0083922
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0038787,tt0071877,tt0038109,tt0034583
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0033870,tt0034583,tt0037382,tt0043265
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0068646,tt0070849,tt0078788,tt0047296
nm0000009	Richard Burton	1925	1984	actor,producer,soundtrack	tt0059749,tt0061184,tt0057877,tt0087803
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0055256,tt0035575,tt0031867,tt0029870
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0052876,tt0044706,tt0027996,tt0034167
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0031210,tt0035140,tt0056687,tt0042192
nm0000013	Doris Day	1922	\N	soundtrack,actress,producer	tt0053172,tt0048317,tt0060463,tt0055100
nm0000014	Olivia de Havilland	1916	\N	actress,soundtrack	tt0031381,tt0041452,tt0040806,tt0029843
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0049261,tt0048028,tt0048545,tt0045458
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0096320,tt0079477,tt0069946,tt0091763
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0021156,tt0051201,tt0052311,tt0055031
nm0000018	Kirk Douglas	1916	\N	actor,producer,soundtrack	tt0046672,tt0054331,tt0044391,tt0052365
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0071129,tt0056801,tt0053779,tt0047528
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0082846,tt0032551,tt0064116,tt0050083
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0036969,tt0032976,tt0039504,tt0034248
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0026752,tt0052278,tt0025316,tt0031381
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0047522,tt0032138,tt0037059,tt0055031
