titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000001	1	Carmencita - spanyol tánc	HU	\N	imdbDisplay	\N	0
tt0000001	2	Карменсита	RU	\N	\N	\N	0
tt0000001	3	Carmencita	US	\N	\N	\N	0
tt0000001	4	Carmencita	\N	\N	original	\N	1
tt0000002	1	Le clown et ses chiens	\N	\N	original	\N	1
tt0000002	2	A bohóc és kutyái	HU	\N	imdbDisplay	\N	0
tt0000002	3	Le clown et ses chiens	FR	\N	\N	\N	0
tt0000002	4	Clovnul si cainii sai	RO	\N	imdbDisplay	\N	0
tt0000002	5	The Clown and His Dogs	US	\N	\N	literal English title	0
tt0000002	6	Клоун и его собаки	RU	\N	\N	\N	0
tt0000003	1	Sarmanul Pierrot	RO	\N	imdbDisplay	\N	0
tt0000003	2	Szegény Pierrot	HU	\N	imdbDisplay	\N	0
tt0000003	3	Бедный Пьеро	RU	\N	\N	\N	0
tt0000003	4	Pauvre Pierrot	\N	\N	original	\N	1
tt0000003	5	Poor Pierrot	\N	\N	\N	\N	0
tt0000003	6	Pauvre Pierrot	FR	\N	\N	\N	0
tt0000004	1	Un bon bock	\N	\N	original	\N	1
tt0000004	2	Un ţap de bere	RO	\N	\N	\N	0
tt0000004	3	Un bon bock	FR	\N	\N	\N	0
tt0000004	4	Полная кружка пива	RU	\N	\N	\N	0
tt0000004	5	A Good Beer	\N	\N	\N	\N	0
tt0000004	6	Egy jó pohár sör	HU	\N	imdbDisplay	\N	0
tt0000005	1	Blacksmithing Scene	US	\N	alternative	\N	0
tt0000005	2	Сцена в кузне	RU	\N	\N	\N	0
tt0000005	3	Blacksmith Shop	GB	\N	\N	informal alternative title	0
tt0000005	4	Blacksmith Scene #1	US	\N	alternative	\N	0
tt0000005	5	Blacksmithing	US	\N	\N	informal alternative title	0
tt0000005	6	A patkolókovács	HU	\N	imdbDisplay	\N	0
tt0000005	7	Blacksmith Scene	US	\N	\N	\N	0
tt0000005	8	Blacksmith Scene	\N	\N	original	\N	1
tt0000005	9	The Blacksmith's Forge	GB	\N	\N	informal alternative title	0
tt0000006	1	Китайский опиумный притон	RU	\N	\N	\N	0
tt0000006	2	Chinezes Fumadores de Ópio	PT	\N	\N	promotional title	0
tt0000006	3	Chinese Opium Den	US	\N	\N	\N	0
tt0000006	4	Kínai ópiumbarlang	HU	\N	imdbDisplay	\N	0
