tconst	averageRating	numVotes
tt0000001	5.8	1416
tt0000002	6.4	167
tt0000003	6.6	1013
tt0000004	6.4	100
tt0000005	6.2	1712
tt0000006	5.6	87
tt0000007	5.5	571
tt0000008	5.6	1520
tt0000009	5.5	69
tt0000010	6.9	5078
tt0000011	5.4	208
tt0000012	7.4	8484
tt0000013	5.7	1299
tt0000014	7.2	3686
tt0000015	6.2	642
tt0000016	5.9	965
tt0000017	4.8	194
tt0000018	5.5	409
tt0000019	6.6	13
tt0000020	5.1	230
tt0000022	5.1	730
tt0000023	5.7	918
tt0000024	5.8	20
tt0000025	4.8	19
tt0000026	5.7	1124
tt0000027	5.6	760
tt0000028	5.2	691
tt0000029	5.9	2426
tt0000030	5.3	587
tt0000031	5.6	677
tt0000032	5.2	286
tt0000033	5.6	723
tt0000034	5.5	100
tt0000035	5.8	46
tt0000036	4.5	411
tt0000037	4.8	34
tt0000038	4.3	127
tt0000039	4.6	11
tt0000040	4.4	30
tt0000041	6.7	1185
tt0000042	4.9	17
tt0000043	4.7	9
tt0000044	4.8	21
tt0000045	4.9	14
tt0000046	4.7	15
tt0000047	4.1	12
tt0000048	5.5	95
tt0000049	6.1	18
tt0000050	4.8	12
tt0000051	4.5	10
tt0000052	4.8	38
tt0000053	3.3	6
tt0000054	5.8	15
tt0000055	4.4	12
tt0000056	4.0	8
tt0000057	5.0	11
tt0000058	4.7	12
tt0000059	4.3	9
tt0000060	8.1	57
tt0000061	4.5	11
tt0000062	6.5	134
tt0000063	4.4	8
tt0000064	4.1	9
tt0000065	4.3	9
tt0000066	4.4	9
tt0000067	6.2	34
tt0000068	4.7	9
tt0000069	4.8	274
tt0000070	6.4	1897
tt0000071	4.2	12
tt0000072	4.8	10
tt0000073	4.7	9
tt0000074	4.7	13
tt0000075	6.4	1200
tt0000076	4.5	367
tt0000077	5.2	14
tt0000078	4.4	36
tt0000079	4.7	14
tt0000080	4.6	11
tt0000081	4.6	11
tt0000082	5.4	19
tt0000083	5.3	14
tt0000084	4.9	11
tt0000085	5.3	14
tt0000086	4.7	12
tt0000087	5.3	15
tt0000088	5.3	12
tt0000089	6.3	679
tt0000090	4.5	11
tt0000091	6.7	2160
tt0000092	5.4	9
tt0000093	5.2	57
tt0000094	4.8	11
tt0000095	5.3	16
tt0000096	5.3	9
tt0000097	5.5	15
tt0000098	6.1	16
tt0000099	5.3	12
tt0000100	5.3	26
tt0000101	5.3	10
tt0000102	5.5	10
tt0000103	6.6	11
tt0000104	5.6	333
tt0000105	6.2	11
tt0000106	5.5	8
tt0000107	6.5	10
tt0000108	4.5	377
tt0000109	4.6	372
tt0000110	4.5	376
tt0000111	4.5	385
tt0000112	4.6	370
tt0000113	4.4	387
tt0000114	6.2	12
tt0000115	6.4	11
tt0000116	6.4	11
tt0000117	5.5	89
tt0000118	6.3	12
tt0000119	6.6	15
tt0000120	6.2	19
tt0000121	4.7	32
tt0000122	6.4	11
tt0000123	6.0	52
tt0000124	6.5	11
tt0000125	6.2	5
tt0000126	6.6	12
tt0000127	5.2	10
tt0000128	6.3	19
tt0000129	7.3	29
tt0000130	6.3	10
tt0000131	5.8	819
tt0000132	5.1	703
tt0000133	7.4	17
tt0000134	6.2	5
tt0000135	7.2	46
tt0000136	6.2	244
tt0000138	6.5	610
tt0000139	6.0	10
tt0000140	5.2	183
tt0000141	5.4	44
tt0000142	5.5	8
tt0000143	5.0	157
tt0000144	5.2	174
tt0000146	6.0	9
tt0000147	5.2	266
tt0000149	6.0	6
tt0000150	5.6	79
tt0000151	5.3	23
tt0000152	6.3	109
tt0000153	5.7	228
tt0000154	4.4	5
tt0000155	5.0	7
tt0000156	5.0	8
tt0000159	5.6	37
tt0000160	5.8	8
tt0000162	5.5	343
tt0000164	5.2	184
tt0000165	5.3	65
tt0000167	4.7	79
tt0000169	4.9	8
tt0000170	5.4	142
tt0000172	6.1	424
tt0000173	5.7	14
tt0000174	5.0	85
tt0000175	5.1	120
tt0000177	4.7	161
tt0000178	6.0	35
tt0000179	5.2	10
tt0000181	7.4	29
tt0000182	5.0	391
tt0000183	6.6	11
tt0000184	4.9	220
tt0000186	4.7	9
tt0000187	5.8	22
tt0000190	5.4	98
tt0000192	4.6	114
tt0000194	5.5	62
tt0000196	5.5	10
tt0000205	6.2	13
tt0000208	5.8	397
tt0000209	6.4	7
tt0000210	5.9	10
tt0000211	7.5	2643
tt0000213	4.6	147
tt0000214	5.0	45
tt0000215	4.5	81
tt0000218	5.9	398
tt0000219	7.3	22
tt0000222	4.6	144
tt0000223	6.3	9
tt0000225	5.6	16
tt0000228	5.0	164
tt0000229	4.7	56
tt0000230	6.5	1100
tt0000234	6.8	27
tt0000235	6.3	406
tt0000239	5.6	144
tt0000240	4.5	40
tt0000242	6.4	663
tt0000245	7.1	16
tt0000246	6.5	785
tt0000247	5.0	349
tt0000248	6.0	1057
tt0000251	5.7	62
tt0000253	5.2	10
tt0000256	4.7	111
tt0000261	6.3	34
tt0000264	5.8	280
tt0000265	4.5	85
tt0000269	5.3	83
tt0000271	7.3	6
tt0000272	5.6	545
tt0000273	5.4	382
tt0000274	5.8	147
tt0000276	7.6	8
tt0000277	6.3	42
tt0000283	6.2	12
tt0000284	5.4	138
tt0000286	5.8	137
tt0000287	5.0	111
tt0000288	5.3	129
tt0000292	5.5	50
tt0000296	6.0	179
tt0000299	5.5	134
tt0000300	7.0	876
tt0000301	4.5	238
tt0000302	5.1	100
tt0000304	6.0	826
tt0000306	5.5	136
tt0000307	4.8	54
tt0000308	6.1	28
tt0000309	6.2	592
tt0000310	7.5	13
tt0000313	5.9	557
tt0000319	6.1	78
tt0000321	4.8	146
tt0000328	7.2	6
tt0000335	6.2	35
tt0000337	5.1	282
tt0000340	5.1	189
tt0000341	5.1	250
tt0000346	5.1	149
tt0000347	4.5	73
tt0000349	6.0	76
tt0000350	5.9	508
tt0000352	7.2	10
tt0000353	5.3	242
tt0000355	6.2	462
tt0000357	6.0	264
tt0000358	6.2	486
tt0000359	7.2	2062
tt0000361	8.1	10
tt0000363	6.4	89
tt0000364	5.5	107
tt0000368	7.0	8
tt0000370	5.6	273
tt0000373	6.1	36
tt0000376	7.8	6
tt0000377	6.7	79
tt0000379	5.4	5
tt0000380	7.2	13
tt0000381	4.7	6
tt0000384	5.8	148
tt0000387	5.2	224
tt0000388	5.2	76
tt0000399	6.2	562
tt0000400	6.7	7
tt0000406	6.0	14
tt0000407	3.7	23
tt0000409	5.1	133
tt0000410	6.7	756
tt0000412	4.3	6
tt0000413	5.5	275
tt0000414	5.4	576
tt0000416	5.6	86
tt0000417	8.2	36658
tt0000420	6.3	2059
tt0000423	5.5	146
tt0000425	5.7	6
tt0000430	6.0	523
tt0000432	5.7	137
tt0000436	6.4	383
tt0000437	5.1	143
tt0000439	7.3	14386
tt0000440	5.4	147
tt0000442	4.9	41
tt0000447	6.4	1713
tt0000451	6.7	606
tt0000452	4.6	77
tt0000455	6.9	1471
tt0000456	4.2	33
tt0000459	4.5	45
tt0000464	4.8	291
tt0000465	7.4	910
tt0000469	5.9	752
tt0000471	5.2	347
tt0000472	6.7	9
tt0000479	5.3	285
tt0000480	5.0	129
tt0000487	7.1	314
tt0000488	7.0	583
tt0000491	3.9	36
tt0000492	5.0	55
tt0000495	6.1	72
tt0000496	6.4	29
tt0000497	5.3	25
tt0000498	6.7	862
tt0000499	7.7	2681
tt0000501	4.8	20
tt0000505	8.1	11
tt0000506	5.8	5
tt0000507	3.9	26
tt0000509	6.3	15
tt0000511	7.3	19
tt0000512	4.6	36
tt0000515	4.9	54
tt0000516	6.6	696
tt0000519	5.8	260
tt0000520	7.5	17
tt0000521	5.6	214
tt0000524	5.8	566
tt0000525	5.6	23
tt0000526	4.4	37
tt0000528	7.4	5
tt0000533	7.4	16
tt0000534	6.7	755
tt0000535	5.0	32
tt0000537	3.9	47
tt0000543	4.8	10
tt0000546	6.8	1454
tt0000550	3.8	5
tt0000552	5.7	23
tt0000553	6.5	171
tt0000554	6.2	903
tt0000555	4.9	9
tt0000557	4.7	78
tt0000561	5.6	21
tt0000565	6.4	362
tt0000567	6.8	722
tt0000570	4.0	28
tt0000571	6.8	41
tt0000574	6.3	473
tt0000575	6.0	319
tt0000576	6.0	173
tt0000578	6.8	9
tt0000582	5.2	520
tt0000583	5.6	19
tt0000584	4.8	39
tt0000597	4.9	38
tt0000598	5.1	20
tt0000599	3.8	6
tt0000601	5.8	6
tt0000602	4.9	136
tt0000609	4.1	8
tt0000610	5.0	10
tt0000613	4.3	7
tt0000614	6.6	641
tt0000615	5.1	13
tt0000617	4.3	15
tt0000621	6.5	456
tt0000627	5.8	13
tt0000628	5.7	568
tt0000629	5.7	25
tt0000630	3.1	10
tt0000632	4.9	25
tt0000637	5.6	469
tt0000638	5.1	27
tt0000639	4.9	33
tt0000640	4.4	57
tt0000641	5.2	83
tt0000642	5.5	18
tt0000644	5.5	15
tt0000645	5.4	73
tt0000648	4.7	80
tt0000651	5.1	22
tt0000653	4.5	127
tt0000654	5.5	27
tt0000658	6.5	126
tt0000659	5.0	25
tt0000660	5.9	13
tt0000661	7.0	7
tt0000662	4.6	11
tt0000663	5.6	11
tt0000665	5.8	11
tt0000666	5.6	19
tt0000668	6.9	17
tt0000669	4.7	91
tt0000671	5.8	8
tt0000672	6.4	9
tt0000674	4.5	22
tt0000675	4.9	9
tt0000676	4.1	7
tt0000679	5.9	26
tt0000680	5.9	10
tt0000681	5.3	7
tt0000682	6.9	1790
tt0000683	5.6	32
tt0000684	5.1	50
tt0000685	5.9	11
tt0000689	6.6	13
tt0000690	6.6	9
tt0000694	5.1	14
tt0000695	5.9	15
tt0000697	5.6	5
tt0000698	5.4	5
tt0000699	6.4	5
tt0000700	5.3	35
tt0000704	6.2	8
tt0000706	5.0	9
tt0000707	5.4	5
tt0000708	4.8	5
tt0000709	5.8	14
tt0000713	5.2	5
tt0000717	6.0	5
tt0000720	6.8	5
tt0000722	4.7	6
tt0000724	5.2	29
tt0000727	7.2	5
tt0000728	5.8	55
tt0000730	6.1	19
tt0000731	4.9	8
tt0000733	5.9	12
tt0000738	7.8	11
tt0000739	6.9	7
tt0000740	5.6	5
tt0000746	8.3	6
tt0000747	5.2	6
tt0000748	5.9	9
tt0000749	5.7	559
tt0000752	5.4	62
tt0000754	7.1	34
tt0000755	5.7	125
tt0000756	5.4	70
tt0000758	6.0	16
tt0000759	7.6	7
tt0000764	6.2	73
tt0000767	7.2	5
tt0000769	5.2	96
tt0000770	5.8	75
tt0000771	6.1	8
tt0000772	6.8	5
tt0000775	7.5	6
tt0000776	5.1	28
tt0000781	6.3	7
tt0000782	7.8	14
tt0000784	5.2	5
tt0000785	5.7	21
tt0000787	5.8	6
tt0000789	5.1	16
tt0000790	6.2	224
tt0000792	4.9	14
tt0000793	4.9	7
tt0000797	5.5	63
tt0000798	4.0	7
tt0000800	5.3	26
tt0000801	5.2	12
tt0000807	4.9	11
tt0000809	6.3	20
tt0000815	4.9	11
tt0000816	4.7	45
tt0000817	3.2	9
tt0000819	5.5	12
tt0000821	4.8	36
tt0000823	4.6	11
tt0000825	4.7	10
tt0000826	4.7	9
tt0000827	5.2	12
tt0000828	5.2	38
tt0000829	4.5	11
tt0000831	5.2	56
tt0000832	6.7	1809
tt0000833	6.5	430
tt0000835	5.0	68
tt0000836	4.7	30
tt0000837	5.0	8
tt0000840	5.6	209
tt0000841	5.8	11
tt0000843	5.8	8
tt0000844	7.4	7
tt0000845	4.9	9
tt0000847	5.9	8
tt0000848	5.7	12
tt0000851	5.3	9
tt0000852	5.7	111
tt0000853	5.7	7
tt0000854	6.1	301
tt0000855	5.7	7
tt0000857	5.2	6
tt0000858	5.2	6
tt0000860	5.3	10
tt0000861	5.3	10
tt0000862	5.0	8
tt0000864	6.0	10
tt0000866	6.6	5
tt0000870	5.4	12
tt0000871	5.6	39
tt0000873	5.8	6
tt0000874	5.1	8
tt0000875	4.7	7
tt0000877	4.9	31
tt0000878	4.8	96
tt0000880	6.2	26
tt0000882	5.9	116
tt0000884	3.5	6
tt0000886	5.2	16
tt0000887	4.4	17
tt0000890	7.3	13
tt0000891	5.4	16
tt0000892	5.7	30
tt0000893	6.9	12
tt0000895	5.7	102
tt0000897	7.2	8
tt0000898	5.4	5
tt0000904	5.4	74
tt0000908	6.1	8
tt0000910	5.3	6
tt0000911	3.2	6
tt0000912	4.5	25
tt0000916	6.5	37
tt0000921	6.4	5
tt0000922	5.8	55
tt0000924	6.3	102
tt0000928	5.5	55
tt0000929	5.5	29
tt0000930	4.6	5
tt0000932	3.2	5
tt0000933	5.1	16
tt0000934	4.6	5
tt0000935	5.9	36
tt0000936	7.3	26
tt0000938	4.3	114
tt0000939	4.7	6
tt0000941	4.9	7
tt0000942	6.1	643
tt0000944	3.8	5
tt0000945	4.6	35
tt0000946	4.6	33
tt0000950	3.6	8
tt0000957	6.6	28
tt0000960	4.7	186
tt0000961	8.0	11
tt0000964	5.2	5
tt0000966	5.8	266
tt0000969	5.9	11
tt0000970	5.6	44
tt0000971	6.2	101
tt0000972	5.3	23
tt0000974	5.1	15
tt0000976	4.4	7
tt0000979	5.0	11
tt0000981	6.0	9
tt0000986	5.1	71
tt0000987	7.8	6
tt0000988	4.0	6
tt0000990	6.3	32
tt0000992	5.1	7
tt0000995	7.6	5
tt0000997	7.2	5
tt0000998	5.2	8
tt0001000	6.1	7
tt0001001	5.6	51
tt0001002	4.8	58
tt0001008	5.2	9
tt0001009	6.5	758
tt0001013	6.0	253
tt0001014	5.0	65
tt0001015	4.3	7
tt0001016	5.7	64
tt0001028	4.6	8
tt0001029	5.1	19
tt0001032	6.1	593
tt0001033	5.4	5
tt0001035	5.1	16
tt0001036	2.8	6
tt0001037	3.4	11
tt0001038	3.9	10
tt0001041	6.5	6
tt0001044	5.7	50
tt0001049	4.1	7
tt0001050	5.4	37
tt0001054	6.6	9
tt0001058	4.3	6
tt0001061	6.0	10
tt0001062	6.2	894
